,High_Yield_Credit_Spread
2005-05-25,4.270143972017848
2005-05-26,4.111640456627685
2005-05-27,3.4008039375239774
2005-05-30,4.542099122021772
2005-05-31,4.105151520110998
2005-06-01,4.099196758588743
2005-06-02,3.9954088233074305
2005-06-03,3.74112127638889
2005-06-06,4.108901169874363
2005-06-07,4.237794217964291
2005-06-08,3.1265521543272223
2005-06-09,3.7306195813269523
2005-06-10,3.8725265147982055
2005-06-13,4.128085302847139
2005-06-14,4.5966555029635625
2005-06-15,3.614129592701609
2005-06-16,3.751019076591079
2005-06-17,3.743732944676725
2005-06-20,3.5992362049477293
2005-06-21,3.826406752443869
2005-06-22,4.385401109993985
2005-06-23,3.4730822523178273
2005-06-24,4.213907197576452
2005-06-27,3.1490488849908322
2005-06-28,3.719331001778897
2005-06-29,3.835255349891007
2005-06-30,4.837429836457033
2005-07-01,3.862598847623656
2005-07-04,2.899378263274541
2005-07-05,3.000555546569375
2005-07-06,4.017014793173341
2005-07-07,4.306885427894954
2005-07-08,4.187727928813627
2005-07-11,4.083785052900495
2005-07-12,4.581129798752833
2005-07-13,3.7302043896314343
2005-07-14,4.447455278013413
2005-07-15,3.1839925574867913
2005-07-18,3.547526083530967
2005-07-19,3.096479302534092
2005-07-20,3.862577349665104
2005-07-21,3.976869391366829
2005-07-22,4.05705074611326
2005-07-25,4.030941676443567
2005-07-26,3.536223334594136
2005-07-27,3.904879577793392
2005-07-28,3.2512766656971257
2005-07-29,4.681614487566125
2005-08-01,3.8481869635509995
2005-08-02,3.7555569404781544
2005-08-03,4.794470164222042
2005-08-04,3.3788767332253853
2005-08-05,3.4372064429840155
2005-08-08,3.4518898375657177
2005-08-09,3.966064309150259
2005-08-10,4.215815814818798
2005-08-11,4.369837734058917
2005-08-12,5.285997658747484
2005-08-15,2.875283772899618
2005-08-16,4.304367794562208
2005-08-17,3.7214347137138843
2005-08-18,3.706792425555613
2005-08-19,3.690113935873061
2005-08-22,3.5456151645960134
2005-08-23,4.8422624173017255
2005-08-24,4.421148663506951
2005-08-25,4.0115979892786875
2005-08-26,4.6755078762435005
2005-08-29,3.2437355173505624
2005-08-30,3.3346474343345367
2005-08-31,2.911016133902656
2005-09-01,3.6502927299383563
2005-09-02,4.080849263352376
2005-09-05,4.051429288966167
2005-09-06,4.07467095552994
2005-09-07,3.294471584466959
2005-09-08,4.401577371307011
2005-09-09,4.1198137591194985
2005-09-12,4.366527140732999
2005-09-13,3.053618911204974
2005-09-14,4.155745429398895
2005-09-15,3.4061173800412368
2005-09-16,3.801338373724319
2005-09-19,4.267182449318192
2005-09-20,4.045546803127957
2005-09-21,3.5742300101103406
2005-09-22,4.003136578092209
2005-09-23,3.2342323423781787
2005-09-26,4.575133697949148
2005-09-27,3.8973579902518742
2005-09-28,4.559274972127663
2005-09-29,3.7367341564519787
2005-09-30,3.7382120057967088
2005-10-03,3.6179066066810766
2005-10-04,4.438086965846538
2005-10-05,3.645284421335762
2005-10-06,4.322297716207588
2005-10-07,3.808773801165355
2005-10-10,3.0120183500541904
2005-10-11,3.714842966106767
2005-10-12,3.4104458928185757
2005-10-13,4.016951361841169
2005-10-14,3.4047961321627547
2005-10-17,4.462987550357308
2005-10-18,3.9544620698234865
2005-10-19,3.9112020026206307
2005-10-20,4.327946068893791
2005-10-21,4.481953467037931
2005-10-24,3.989950624115174
2005-10-25,3.6143998502253547
2005-10-26,3.1130151919439353
2005-10-27,3.65697512148241
2005-10-28,3.691393876676019
2005-10-31,4.053528726496149
2005-11-01,3.8274265594309864
2005-11-02,4.343966486025714
2005-11-03,3.6935083643646553
2005-11-04,3.971479416573529
2005-11-07,4.5919937215984445
2005-11-08,4.170912606977483
2005-11-09,3.9699812291557177
2005-11-10,3.6990277790324115
2005-11-11,3.6833843016425116
2005-11-14,3.5746933735240263
2005-11-15,3.7294965671085505
2005-11-16,4.377832919372158
2005-11-17,3.8890558643538657
2005-11-18,3.3251134653093843
2005-11-21,4.8840846465298915
2005-11-22,4.159982595572582
2005-11-23,3.2965282997434153
2005-11-24,3.779075536379588
2005-11-25,4.055443191414209
2005-11-28,4.852296046648688
2005-11-29,3.4459437708705654
2005-11-30,4.488020359677973
2005-12-01,4.699743213486172
2005-12-02,3.685672847462715
2005-12-05,3.8612431905698834
2005-12-06,3.4818453763131147
2005-12-07,3.8982694294598477
2005-12-08,3.9817050128285345
2005-12-09,4.329824999041185
2005-12-12,4.545091735510224
2005-12-13,3.6259519676891765
2005-12-14,3.016337467887003
2005-12-15,3.989377610361879
2005-12-16,4.14676876498432
2005-12-19,4.124708843842521
2005-12-20,3.836663376245478
2005-12-21,4.062376049831967
2005-12-22,4.757722404176124
2005-12-23,4.190867084481255
2005-12-26,3.813315787498458
2005-12-27,3.749901091452002
2005-12-28,3.9150738211611347
2005-12-29,4.81836998091532
2005-12-30,3.9083496452369015
2006-01-02,3.990102827739646
2006-01-03,3.7588432145318484
2006-01-04,4.549491678720982
2006-01-05,4.979918627372338
2006-01-06,4.225306524715694
2006-01-09,4.041386451892713
2006-01-10,4.018391416587117
2006-01-11,2.807846605607127
2006-01-12,4.372575432142408
2006-01-13,4.067083207997921
2006-01-16,4.214171025330362
2006-01-17,3.6442689029581476
2006-01-18,3.8077715605114544
2006-01-19,3.7944875317484135
2006-01-20,4.510811492036519
2006-01-23,3.8106200816984535
2006-01-24,5.041330161054899
2006-01-25,4.215431209507519
2006-01-26,3.362158670002134
2006-01-27,3.9357268533740215
2006-01-30,3.674162438921792
2006-01-31,2.902808765089988
2006-02-01,4.799735470056895
2006-02-02,4.351571271110002
2006-02-03,4.2666036589496565
2006-02-06,4.082701830149852
2006-02-07,3.3089912156537813
2006-02-08,3.758191430222282
2006-02-09,4.4208903873920065
2006-02-10,3.4743899851087487
2006-02-13,2.734115341874593
2006-02-14,3.886446996109537
2006-02-15,3.9291212229862307
2006-02-16,4.067781708207354
2006-02-17,4.3642593217572685
2006-02-20,4.318802906115605
2006-02-21,4.129384902621961
2006-02-22,4.597765694043355
2006-02-23,3.2405151095933427
2006-02-24,4.252290907238695
2006-02-27,4.313269181668471
2006-02-28,3.38021885695988
2006-03-01,3.2485646956588052
2006-03-02,3.6270289367621995
2006-03-03,3.669229278742354
2006-03-06,4.376709731751215
2006-03-07,3.6927306081544526
2006-03-08,3.571825740859398
2006-03-09,3.6941831316527205
2006-03-10,4.559316167077106
2006-03-13,4.006521687188476
2006-03-14,3.910374487321544
2006-03-15,3.9449972506494744
2006-03-16,4.646030167163262
2006-03-17,3.625414136698379
2006-03-20,4.657754145470052
2006-03-21,4.105248149460752
2006-03-22,3.9197903090123263
2006-03-23,5.250450248967141
2006-03-24,3.4721802551007017
2006-03-27,3.823157120216497
2006-03-28,3.3837843804179997
2006-03-29,4.476230985268085
2006-03-30,4.844594466825839
2006-03-31,4.834961390702319
2006-04-03,4.611974376573002
2006-04-04,3.9011897661020174
2006-04-05,3.817379511255077
2006-04-06,3.1644151137529675
2006-04-07,5.017936767590896
2006-04-10,4.234489039074234
2006-04-11,3.7540215475652583
2006-04-12,4.664028444493484
2006-04-13,3.5136177416199996
2006-04-14,4.2033110171113375
2006-04-17,3.9136854328545825
2006-04-18,4.31933856994015
2006-04-19,3.9682132304069393
2006-04-20,3.274536054444388
2006-04-21,4.037788186335019
2006-04-24,4.5244320709376815
2006-04-25,3.9853917970730075
2006-04-26,4.387557560794543
2006-04-27,3.4772352571629734
2006-04-28,3.986869603365074
2006-05-01,3.6877447724557113
2006-05-02,4.373490420052355
2006-05-03,4.015745781130998
2006-05-04,4.345036838168307
2006-05-05,4.543855213078933
2006-05-08,4.345809287560694
2006-05-09,4.136559217146822
2006-05-10,3.5008938707442976
2006-05-11,3.9986069446665495
2006-05-12,3.733454798992083
2006-05-15,3.827968021647887
2006-05-16,3.8127329246248745
2006-05-17,3.5100372126088777
2006-05-18,3.021330705433005
2006-05-19,3.6659284758361164
2006-05-22,4.096689725962079
2006-05-23,3.325911477286255
2006-05-24,4.007841118235812
2006-05-25,4.950134212155483
2006-05-26,4.51152827762612
2006-05-29,4.821770754560265
2006-05-30,4.195563938466363
2006-05-31,4.583754911493223
2006-06-01,3.6380176347661064
2006-06-02,3.6778298664890077
2006-06-05,2.630429896931264
2006-06-06,4.593072737021149
2006-06-07,4.770161989909943
2006-06-08,3.723411377326365
2006-06-09,3.8730241468013826
2006-06-12,3.6230689431545193
2006-06-13,4.191326775738746
2006-06-14,4.56246627265162
2006-06-15,3.1286140130594795
2006-06-16,4.204719265321126
2006-06-19,3.861664114140427
2006-06-20,4.056697195983345
2006-06-21,4.229497000837146
2006-06-22,3.9058987806135894
2006-06-23,3.9482065732971097
2006-06-26,3.8930624162226803
2006-06-27,4.48515810089414
2006-06-28,4.209379980063749
2006-06-29,4.11029176886868
2006-06-30,3.3645241394538585
2006-07-03,3.810710128393423
2006-07-04,4.449334580169587
2006-07-05,4.018848286561961
2006-07-06,4.329765734794569
2006-07-07,4.8832559001638165
2006-07-10,4.519303034604408
2006-07-11,4.046579168849871
2006-07-12,3.7445054149021364
2006-07-13,2.723225201972051
2006-07-14,3.915807538763574
2006-07-17,3.8369937520915753
2006-07-18,4.195183097197688
2006-07-19,3.923047386512656
2006-07-20,3.839807470281603
2006-07-21,3.11030053474639
2006-07-24,3.530016085424967
2006-07-25,4.238325520400279
2006-07-26,4.857953815566347
2006-07-27,3.951237308127188
2006-07-28,4.163905536787062
2006-07-31,4.476239078476403
2006-08-01,3.594553031899875
2006-08-02,4.183407021642721
2006-08-03,3.6297549468339207
2006-08-04,4.4324122192455055
2006-08-07,4.075701523975867
2006-08-08,4.14922590699072
2006-08-09,3.6087007012907053
2006-08-10,4.353516179805393
2006-08-11,5.042356460615508
2006-08-14,3.496044152285897
2006-08-15,3.8301204961762383
2006-08-16,4.115803737084046
2006-08-17,4.393203105997908
2006-08-18,3.7202268573552657
2006-08-21,2.58348485492863
2006-08-22,4.679594747082012
2006-08-23,4.3802530597920715
2006-08-24,3.1285262347566674
2006-08-25,3.696215604110222
2006-08-28,4.784091214763663
2006-08-29,4.723898209228933
2006-08-30,4.469320011339472
2006-08-31,3.9119437830200687
2006-09-01,4.041493709406255
2006-09-04,3.934537097436937
2006-09-05,4.564119891634419
2006-09-06,3.562078796752445
2006-09-07,3.5971001725578975
2006-09-08,4.505137293418008
2006-09-11,3.9778192722442194
2006-09-12,4.689233677726904
2006-09-13,3.6642438965097273
2006-09-14,3.9726108198305874
2006-09-15,3.5387935075780232
2006-09-18,4.0036813407117835
2006-09-19,3.2607265315006004
2006-09-20,3.7561832895225185
2006-09-21,3.2818730675359413
2006-09-22,4.346961616595629
2006-09-25,4.358294669879826
2006-09-26,3.1348686347578276
2006-09-27,4.666942872750287
2006-09-28,5.248707563209927
2006-09-29,4.0230031933681705
2006-10-02,3.6794428698876778
2006-10-03,5.412165295501524
2006-10-04,3.340515750848745
2006-10-05,4.010053233434549
2006-10-06,4.089811136315962
2006-10-09,4.672573810226208
2006-10-10,4.179869487563394
2006-10-11,3.7506830521057744
2006-10-12,3.524407814806022
2006-10-13,3.8290890898769323
2006-10-16,3.496536319527428
2006-10-17,4.023912659892342
2006-10-18,3.717901910069757
2006-10-19,3.2529811033551246
2006-10-20,4.627572894187452
2006-10-23,3.7511637382854803
2006-10-24,3.365931597512344
2006-10-25,3.915870432756229
2006-10-26,4.03418578298383
2006-10-27,3.1267666372104834
2006-10-30,4.165823833562881
2006-10-31,3.4764212156548675
2006-11-01,4.855514404595394
2006-11-02,4.261980256038368
2006-11-03,3.8000500049453416
2006-11-06,3.6274161148413246
2006-11-07,3.947516146218188
2006-11-08,4.306395370791645
2006-11-09,3.9872529357074002
2006-11-10,3.891420596431572
2006-11-13,4.029185145408948
2006-11-14,3.6980705343815226
2006-11-15,3.828397036578481
2006-11-16,2.957103780547498
2006-11-17,4.486863115426184
2006-11-20,4.149398890160881
2006-11-21,3.613272077983285
2006-11-22,4.949367490677619
2006-11-23,4.043508240196194
2006-11-24,3.4819282140124015
2006-11-27,4.42836871073523
2006-11-28,4.199024108254632
2006-11-29,4.1972899927421095
2006-11-30,3.7871221976742047
2006-12-01,4.2252478618890175
2006-12-04,3.8691208548894527
2006-12-05,4.277970725822921
2006-12-06,3.0475277729946804
2006-12-07,3.7830632685104053
2006-12-08,4.861077548904097
2006-12-11,3.6164662722998497
2006-12-12,3.6980808512534065
2006-12-13,3.7760193307750125
2006-12-14,3.392596932055678
2006-12-15,2.895859611885874
2006-12-18,3.8847068007381935
2006-12-19,4.067929712040828
2006-12-20,3.973747465730674
2006-12-21,3.9275607190260566
2006-12-22,4.021520435425193
2006-12-25,4.511420735775382
2006-12-26,3.9047769070353917
2006-12-27,3.7129587114563654
2006-12-28,3.859437257555957
2006-12-29,4.289673379878388
2007-01-01,4.706013439271625
2007-01-02,3.685928130415411
2007-01-03,4.049466893514442
2007-01-04,4.16917872096798
2007-01-05,3.5037109966355886
2007-01-08,4.010208583606459
2007-01-09,3.2671630713289526
2007-01-10,3.1154748481303005
2007-01-11,4.183373203946129
2007-01-12,3.8080626293346085
2007-01-15,4.101140203810609
2007-01-16,3.991052511495825
2007-01-17,3.5117999756681013
2007-01-18,3.977372849017832
2007-01-19,3.383449347492572
2007-01-22,4.6954861790007
2007-01-23,3.322014827570018
2007-01-24,3.902107364515709
2007-01-25,3.4788642059763757
2007-01-26,4.285210586680398
2007-01-29,3.8342843143592487
2007-01-30,3.740666640189395
2007-01-31,4.426600772525777
2007-02-01,4.014715295838776
2007-02-02,4.258322222967983
2007-02-05,3.5093370317412678
2007-02-06,3.2975915280362464
2007-02-07,4.053603981020067
2007-02-08,3.8405768222526344
2007-02-09,4.313217336226972
2007-02-12,3.960045773668725
2007-02-13,4.102537669617315
2007-02-14,3.1883087350293784
2007-02-15,4.9442184698071285
2007-02-16,3.917879007483984
2007-02-19,4.348793485169599
2007-02-20,3.581954164890187
2007-02-21,4.1540049511086705
2007-02-22,3.3485776182376275
2007-02-23,4.2260339191298355
2007-02-26,3.8220129578070834
2007-02-27,4.014595251967783
2007-02-28,4.348987015065049
2007-03-01,3.38372984438986
2007-03-02,3.6577541346936013
2007-03-05,4.228662140543383
2007-03-06,5.049110737273374
2007-03-07,3.9309588326692593
2007-03-08,4.295568058961966
2007-03-09,3.94651426507076
2007-03-12,4.9711227973781495
2007-03-13,3.126389166517372
2007-03-14,4.047310522334679
2007-03-15,3.1872279832189694
2007-03-16,2.7467142147316417
2007-03-19,4.148731026558909
2007-03-20,4.06974889807373
2007-03-21,3.8575815311288992
2007-03-22,3.9469029549801236
2007-03-23,5.549149717035629
2007-03-26,3.8709124309842826
2007-03-27,4.255062180625037
2007-03-28,3.6753175901930595
2007-03-29,4.147616287520302
2007-03-30,3.880883162472191
2007-04-02,3.794740758635135
2007-04-03,4.909449266100163
2007-04-04,4.588592481592169
2007-04-05,4.068373323699615
2007-04-06,2.847894032028017
2007-04-09,3.8194953883737153
2007-04-10,5.351513782202542
2007-04-11,3.884669166680146
2007-04-12,4.551608786026829
2007-04-13,4.7209712009763
2007-04-16,4.109481957927987
2007-04-17,3.579089184065924
2007-04-18,2.7823438341085556
2007-04-19,4.342081604304477
2007-04-20,3.5926219985882257
2007-04-23,4.088075225943846
2007-04-24,3.375089830205318
2007-04-25,3.867381229764899
2007-04-26,4.016859527450527
2007-04-27,4.134296790522149
2007-04-30,3.4425889063237927
2007-05-01,4.5984554743806765
2007-05-02,3.701552607634014
2007-05-03,3.1627652697733772
2007-05-04,3.945488290018268
2007-05-07,4.01718765451323
2007-05-08,4.08029471658588
2007-05-09,4.6810662018425395
2007-05-10,3.8817755816320703
2007-05-11,3.9401901878156145
2007-05-14,3.448407809383453
2007-05-15,4.4102767514439485
2007-05-16,4.092154532039052
2007-05-17,3.7899861363529186
2007-05-18,3.047662653267268
2007-05-21,4.722206097527543
2007-05-22,3.3861600177719713
2007-05-23,3.704360995315147
2007-05-24,4.179172255538002
2007-05-25,3.401721035691657
2007-05-28,3.2532451108734284
2007-05-29,2.9380262086496676
2007-05-30,4.360498476452818
2007-05-31,3.727406877636839
2007-06-01,5.463635046236665
2007-06-04,3.502822467184563
2007-06-05,3.5392744882855394
2007-06-06,3.7173035148572993
2007-06-07,4.121567327569244
2007-06-08,3.7648983306073442
2007-06-11,4.306166107001256
2007-06-12,3.510705805005673
2007-06-13,3.3092041407682093
2007-06-14,3.100892630295446
2007-06-15,2.8882129160314016
2007-06-18,3.7409654902624716
2007-06-19,3.8495098438033892
2007-06-20,3.684281486258408
2007-06-21,4.621702898593581
2007-06-22,4.614015104804068
2007-06-25,3.832598506277749
2007-06-26,3.1030394434040183
2007-06-27,3.7166474459724737
2007-06-28,3.7000893030414694
2007-06-29,3.671432518860971
2007-07-02,3.6511405480508774
2007-07-03,3.6732685521375963
2007-07-04,3.80672919205112
2007-07-05,3.6822294505922217
2007-07-06,4.104161254312796
2007-07-09,4.180184357952431
2007-07-10,3.5446774564087553
2007-07-11,4.6355326630035165
2007-07-12,3.509968849079693
2007-07-13,3.1910996930923314
2007-07-16,4.190389035682526
2007-07-17,3.59129593279283
2007-07-18,4.160645735378694
2007-07-19,2.7981656994497346
2007-07-20,4.696227970741534
2007-07-23,4.3361467040202015
2007-07-24,3.249761725418499
2007-07-25,3.2606114380768574
2007-07-26,4.8361329520487635
2007-07-27,3.6313100482510206
2007-07-30,3.582907575633688
2007-07-31,2.866973952925359
2007-08-01,3.8246108971992228
2007-08-02,3.8861401925821237
2007-08-03,4.357746548384743
2007-08-06,3.300460785907762
2007-08-07,3.239856603879695
2007-08-08,4.225481317388239
2007-08-09,4.503365035613532
2007-08-10,3.2144238244410586
2007-08-13,4.5407570431498705
2007-08-14,4.01877092074341
2007-08-15,4.545902669537323
2007-08-16,3.9648898192411917
2007-08-17,2.738861041256025
2007-08-20,3.9240163088419804
2007-08-21,4.530071909335635
2007-08-22,3.553126990458143
2007-08-23,3.806017515546274
2007-08-24,3.911933248224511
2007-08-27,2.550243060065759
2007-08-28,4.835673787718738
2007-08-29,3.5493121600514126
2007-08-30,4.252867716236399
2007-08-31,3.9566494319258956
2007-09-03,4.62880952817968
2007-09-04,4.203028061214041
2007-09-05,3.8825378642395125
2007-09-06,3.55324245374036
2007-09-07,4.398925350691069
2007-09-10,3.0632793480226916
2007-09-11,4.322945210137946
2007-09-12,3.4504776242225637
2007-09-13,4.6261418309783195
2007-09-14,4.080649771331347
2007-09-17,4.322061883925055
2007-09-18,4.040994406912359
2007-09-19,3.1238114524295018
2007-09-20,3.569635418302331
2007-09-21,4.336194668805692
2007-09-24,4.083327908679922
2007-09-25,4.590494952652836
2007-09-26,4.201637281518586
2007-09-27,3.51664905464867
2007-09-28,3.601967931139683
2007-10-01,4.051458695261618
2007-10-02,2.842977966999947
2007-10-03,4.836720942811493
2007-10-04,4.220873368188778
2007-10-05,4.613517298524436
2007-10-08,3.2096980295954154
2007-10-09,4.622282580177628
2007-10-10,5.115749455513875
2007-10-11,3.3395608223113413
2007-10-12,4.385700897451883
2007-10-15,4.000554972343647
2007-10-16,3.2277830758758776
2007-10-17,4.246441985925935
2007-10-18,4.4168016024186745
2007-10-19,3.6994367236655767
2007-10-22,4.5829582601276115
2007-10-23,3.1666182966054013
2007-10-24,3.252621926775178
2007-10-25,4.0682986977943765
2007-10-26,4.0126926389861355
2007-10-29,3.6417132557879475
2007-10-30,4.4047972179859425
2007-10-31,4.265447157107975
2007-11-01,4.429069535467008
2007-11-02,3.938431782323866
2007-11-05,4.301290133989171
2007-11-06,3.7771748484850027
2007-11-07,5.026909345043298
2007-11-08,3.593727114939007
2007-11-09,5.052648714729156
2007-11-12,4.0174439735447045
2007-11-13,3.3122445552156288
2007-11-14,4.684039675244301
2007-11-15,4.06295069419748
2007-11-16,4.425562049190119
2007-11-19,4.611927959271297
2007-11-20,4.168977777072513
2007-11-21,3.7038795775935927
2007-11-22,4.487856688834625
2007-11-23,4.000377753727298
2007-11-26,4.342928909304209
2007-11-27,2.923134713104269
2007-11-28,4.223490858504926
2007-11-29,3.6807070874274848
2007-11-30,4.826654818589265
2007-12-03,4.311543673944548
2007-12-04,4.119928872924648
2007-12-05,4.243154996675111
2007-12-06,3.500779573561641
2007-12-07,4.811628345264027
2007-12-10,4.995685209208452
2007-12-11,4.1964567552741086
2007-12-12,4.795201784286819
2007-12-13,3.715425900663733
2007-12-14,3.6014432168875095
2007-12-17,4.020462374364461
2007-12-18,4.21747051918395
2007-12-19,3.8030066593784397
2007-12-20,4.268884095184242
2007-12-21,4.153194741036707
2007-12-24,3.5008466123544726
2007-12-25,4.25939650872586
2007-12-26,4.431764121260761
2007-12-27,4.085734658795196
2007-12-28,4.576324051630846
2007-12-31,3.391298103251524
2008-01-01,9.233975211065925
2008-01-02,8.414859646801613
2008-01-03,8.442959320883457
2008-01-04,8.684534583131105
2008-01-07,8.528969908212877
2008-01-08,8.726002090629432
2008-01-09,8.892924844644405
2008-01-10,9.418577243165693
2008-01-11,8.83942048064715
2008-01-14,8.207187146615205
2008-01-15,9.57003392324758
2008-01-16,8.58145493319248
2008-01-17,8.970639786447686
2008-01-18,9.223268253470355
2008-01-21,9.099805209201392
2008-01-22,9.547089773760739
2008-01-23,9.23950157169638
2008-01-24,8.569345210151447
2008-01-25,10.08928108699583
2008-01-28,9.097166731669116
2008-01-29,8.926329886689247
2008-01-30,9.481962711527785
2008-01-31,9.124725472965036
2008-02-01,9.199614096469663
2008-02-04,10.246091999300344
2008-02-05,8.862439285872476
2008-02-06,8.841119552991302
2008-02-07,9.058289256006232
2008-02-08,9.53575796779052
2008-02-11,8.246732984904801
2008-02-12,8.017222054261747
2008-02-13,8.706442364689927
2008-02-14,8.183038520470356
2008-02-15,8.78758432623718
2008-02-18,9.251249848064646
2008-02-19,8.554625568223868
2008-02-20,8.286586711609328
2008-02-21,9.034668580857673
2008-02-22,9.431271742307585
2008-02-25,8.152513280741694
2008-02-26,9.410116199152991
2008-02-27,9.408653101869163
2008-02-28,9.477042551078313
2008-02-29,9.609240107435843
2008-03-03,10.101006962329809
2008-03-04,8.821953975690473
2008-03-05,9.05478579003893
2008-03-06,8.791780783375987
2008-03-07,9.000988422377905
2008-03-10,9.766436677818156
2008-03-11,8.327492758034666
2008-03-12,8.569475163917213
2008-03-13,9.688590468252281
2008-03-14,9.510018253451044
2008-03-17,8.818434176591461
2008-03-18,9.427201000560359
2008-03-19,9.170607921246017
2008-03-20,9.750137304500495
2008-03-21,9.037254796913388
2008-03-24,9.512816056936291
2008-03-25,10.32100595524631
2008-03-26,9.299049577523732
2008-03-27,9.024664082897422
2008-03-28,9.36122349261049
2008-03-31,8.817359570898057
2008-04-01,10.193983852762365
2008-04-02,9.09003551884799
2008-04-03,8.863533339887244
2008-04-04,8.582155497489982
2008-04-07,9.54861009580322
2008-04-08,9.43359370641387
2008-04-09,8.751322814292953
2008-04-10,9.288225672561211
2008-04-11,8.245722015893572
2008-04-14,9.09248528753658
2008-04-15,9.226378176038347
2008-04-16,9.853664904779611
2008-04-17,8.614590598635655
2008-04-18,8.360823685598838
2008-04-21,8.55228601953748
2008-04-22,8.331715749842541
2008-04-23,9.668328678879492
2008-04-24,9.77431964751202
2008-04-25,9.160108288974413
2008-04-28,9.610647472842574
2008-04-29,9.066979190290118
2008-04-30,8.952444176149617
2008-05-01,8.833481190473119
2008-05-02,8.844804504311217
2008-05-05,8.226099221845484
2008-05-06,9.13212738180367
2008-05-07,8.979833044892978
2008-05-08,9.372680362038938
2008-05-09,9.046761748219305
2008-05-12,8.918648149215453
2008-05-13,8.564403484996184
2008-05-14,9.036076618410881
2008-05-15,9.36911861540808
2008-05-16,8.42833050445807
2008-05-19,9.04373687684037
2008-05-20,9.116521475764742
2008-05-21,8.640967608190868
2008-05-22,8.706071847546
2008-05-23,9.115305424383108
2008-05-26,8.433289490853689
2008-05-27,9.174961857624696
2008-05-28,8.5523228131704
2008-05-29,9.53142684651661
2008-05-30,10.16891387269415
2008-06-02,8.569621599149091
2008-06-03,9.267103931187338
2008-06-04,8.63662904755899
2008-06-05,9.520477086898895
2008-06-06,8.367370795457393
2008-06-09,9.240293379213856
2008-06-10,8.563505516555324
2008-06-11,8.896507705450816
2008-06-12,8.484487362426346
2008-06-13,9.411175235447876
2008-06-16,8.581509822780207
2008-06-17,9.275982129665913
2008-06-18,8.827950985868833
2008-06-19,8.94276381410057
2008-06-20,9.073877953700064
2008-06-23,8.619087664170575
2008-06-24,9.105183556770443
2008-06-25,9.765167282177206
2008-06-26,8.610952607083643
2008-06-27,9.585905071636923
2008-06-30,9.749048816743892
2008-07-01,8.591922505485979
2008-07-02,8.272472697454724
